,text
0,"['kalau', 'minta', 'ktpkksim', 'skip', 'ya', 'itu', 'semua', 'dokumen', 'confidential', 'doc', 'tsb', 'di', 'minta', 'hr', 'hanya', 'kalau', 'loe', 'letter', 'of', 'appointment', 'udh', 'km', 'ttd', 'keperluannya', 'utk', 'hitung', 'pph', 'amp', 'bpjs', 'tk', 'semangat', 'job', 'seeker']"
1,"['cicilan', 'tanpa', 'kartu', 'credit', 'syarat', 'ktp', 'dan', 'npwp', 'ktp', 'dan', 'sim', 'ktp', 'dan', 'bpjs', 'wa', 'cicilhp', 'cicilantanpakartukredit', 'cicilanmurah']"
2,"['tas', 'ditaruh', 'loker', 'tanpa', 'kunci', 'harap', 'bawa', 'benda', 'berharga', 'bayangkan', 'bawa', 'laptop', 'dompet', 'hape', 'buku', 'polpen', 'wkwkwk', 'saat', 'mau', 'pinjam', 'buku', 'ditulis', 'di', 'kartu', 'peminjaman', 'untuk', 'peminjam', 'dan', 'kartu', 'satu', 'lagi', 'paling', 'ajaib', 'dimintai', 'kartu', 'jaminan', 'simktpbpjs']"
3,"['mohon', 'bantuannya', 'dips', 'buat', 'yang', 'nemuin', 'dompet', 'warna', 'hitam', 'kecil', 'sama', 'cardcase', 'isinya', 'ada', 'ktp', 'sim', 'kartu', 'atm', 'ktm', 'fib', 'dan', 'bpjs', 'an', 'nila', 'disekitar', 'burjo', 'in', 'tunjungsari', 'bisa', 'respon', 'disini', 'butuh', 'banget', 'kartu²nya']"
4,"['x', 'aku', 'nder', 'di', 'mitra', 'medika', 'an', 'tanpa', 'bpjs', 'selain', 'bersihkan', 'telinga', 'juga', 'buat', 'pake', 'alat', 'bantu', 'dengar', 'buat', 'sim', 'selain', 'dibersihkan', 'juga', 'buat', 'cek', 'kondisi', 'pendengaran', 'gak', 'tahu', 'berapa', 'orang', 'rumah', 'yg', 'bayarkan']"
5,"['happy', 'birthday', 'aiden', 'wyatb', 'longlast', 'gws', 'ktp', 'sim', 'kk', 'bpjs', 'wkwkwk', 'bercanda', 'semoga', 'panjang', 'umur', 'sehat', 'selalu', 'dilancarkan', 'segalanya', 'dan', 'langgeng', 'juga', 'sama', 'pacarnya']"
6,"['bpjs', 'jadi', 'syarat', 'perpanjangan', 'atau', 'buat', 'baru', 'sim', 'via', 'polantas', 'balikpapan']"
7,"['iyaa', 'ada', 'sim', 'ktp', 'stnk', 'bpjs', 'atm', 'dll', 'wkwk']"
8,"['kalo', 'seumur', 'hidup', 'tinggal', 'di', 'kapal', 'bisa', 'ngga', 'ya', 'di', 'indonesia', 'soal', 'administrasi', 'macam', 'ktp', 'sim', 'bpjs', 'dll', 'apa', 'bisa', 'diurus']"
9,"['cicilan', 'tanpa', 'kartu', 'kredit', 'cicilan', 'tanpa', 'ribet', 'dapatkan', 'dp', 'mulai', 'bunga', 'mulai', 'amp', 'free', 'admin', 'syarat', 'pengajuan', 'ktp', 'amp', 'dokumen', 'pendukungsim', 'npwp', 'bpjs', 'dll', 'proses', 'hanya', 'menit', 'homecreditregion', 'agensobatbelanja', 'homecreditpromobekasi', 'lok', 'mall', 'metropolitan', 'bekasi']"
10,"['paling', 'males', 'kalau', 'ngurus', 'ktp', 'sim', 'dan', 'bpjs', 'surat', 'kehilangan', 'g', 'cukup', 'utk', 'menerbitkan', 'kartu', 'yg', 'baru', 'menghabiskan', 'waktu', 'dan', 'tenaga']"
11,"['cicilan', 'tanpa', 'kartu', 'credit', 'syarat', 'ktp', 'dan', 'npwp', 'ktp', 'dan', 'sim', 'ktp', 'dan', 'bpjs', 'wa', 'cicilhp', 'cicilantanpakartukredit', 'cicilanmurah']"
12,"['hbd', 'bpjs', 'skck', 'npwp', 'ktp', 'sim', 'siup', 'bpom', 'mamang', 'aksa']"
13,"['sumpah', 'ya', 'aku', 'tuh', 'jarang', 'bawa', 'dompet', 'sampe', 'gatau', 'isinya', 'ada', 'brp', 'dah', 'mana', 'itu', 'ada', 'ktp', 'sim', 'a', 'sim', 'c', 'bpjs']"
14,"['betul', 'pak', 'mohon', 'pak', 'dinas', 'dinas', 'pelayanan', 'masyarakat', 'yg', 'lain', 'tolong', 'diberlakukan', 'sabtu', 'minggu', 'kalau', 'tdk', 'kita', 'tdk', 'akan', 'bisa', 'cepatmisalnya', 'layanan', 'stnksim', 'dll', 'apalagi', 'bpjs', 'dipoliklinik', 'rs', 'sakit', 'kami', 'semakin', 'parah', 'karena', 'nunggu', 'hari', 'senin', 'dll', 'makasih']"
15,"['rip', 'ktp', 'kartu', 'vaksin', 'kartu', 'atm', 'bpjs', 'sim']"
16,"['pas', 'anter', 'teteh', 'ngaji', 'lupa', 'sletingin', 'dompet', 'alhasil', 'isi', 'dompet', 'berhamburan', 'semua', 'ya', 'allah', 'hp', 'admin', 'sim', 'a', 'dan', 'c', 'kartu', 'btn', 'bca', 'bpjs', 'alhamdulillah', 'yg', 'nemuin', 'baik', 'jadi', 'kembali', 'dengan', 'selamat']"
17,"['cicilan', 'tanpa', 'kartu', 'credit', 'syarat', 'ktp', 'dan', 'npwp', 'ktp', 'dan', 'sim', 'ktp', 'dan', 'bpjs', 'wa', 'cicilhp', 'cicilantanpakartukredit', 'cicilanmurah']"
18,"['dalamnya', 'ada', 'ktp', 'npwp', 'sim', 'stnk', 'bpjs', 'kartu', 'atm']"
19,"['cuman', 'situ', 'waras', 'ya', 'udah', 'coba', 'lu', 'ganti', 'nama', 'mulai', 'dari', 'akta', 'kelahiran', 'kartu', 'keluarga', 'ktp', 'sim', 'stnk', 'bpjs', 'ijazah', 'sertifikat', 'tanah', 'berapa', 'uang', 'waktu', 'dan', 'energi', 'yang', 'terbuang']"
20,"['publik', 'sangat', 'dirugikan', 'ganti', 'nama', 'jalan', 'berimbas', 'pada', 'perubahan', 'identitas', 'ktpstnksimsertifikat', 'tanahbpjs', 'dll', 'ditambah', 'perubahan', 'nama']"
21,"['ganti', 'nama', 'jalan', 'efeknya', 'ke', 'dukcapil', 'sim', 'stnk', 'dll', 'skrg', 'ganti', 'nama', 'rumah', 'sakit', 'berarti', 'sistem', 'koresponden', 'dan', 'rujukan', 'bpjs', 'dll', 'hrs', 'ganti', 'semua', 'lg', 'siapa', 'sih', 'yg', 'milih', 'ini', 'org', 'bngst']"
22,"['atm', 'bpjs', 'kartu', 'vaksin', 'sim', 'ktp']"
23,"['ktp', 'sim', 'dan', 'bpjs']"
24,"['cicilan', 'tanpa', 'kartu', 'credit', 'syarat', 'ktp', 'dan', 'npwp', 'ktp', 'dan', 'sim', 'ktp', 'dan', 'bpjs', 'wa', 'cicilhp', 'cicilantanpakartukredit', 'cicilanmurah']"
25,"['itu', 'poto', 'kopi', 'ktp', 'kk', 'bpjs', 'sim', 'dll', 'yg', 'tiap', 'hari', 'buat', 'syarat', 'apapun', 'coba', 'ditelusuri', 'sampahnya', 'kemana', 'pak', 'kalau', 'ujungnya', 'cuman', 'dikiloin', 'berarti', 'bisa', 'salah', 'guna', 'bisa', 'dituntut', 'membocorkan', 'privasi']"
26,"['sim', 'c', 'kartu', 'debit', 'flazz', 'ktp', 'bpjs']"
27,"['ktp', 'sim', 'stnk', 'bpjs', 'ktm', 'atm', 'kartu', 'berobat', 'puskesmas', 'pasphoto', 'kaca', 'materai', 'fc', 'ktp', 'peniti']"
28,"['private', 'terms', 'kak', 'bpjs', 'dan', 'info', 'sim', 'card', 'aja', 'bisa', 'bocor', 'orang', 'demgan', 'pengaruh', 'auto', 'sering', 'kenak', 'teror', 'nah', 'ini', 'duit', 'mbak', 'duit', 'mbak', 'bukak', 'hp', 'sett', 'tau', 'tau', 'saldo', 'sebulan', 'paypal', 'ilang', 'belum', 'lagi', 'yg', 'makek', 'level', 'corporate', 'bisa', 'kenak', 'colong', 'tuch', 'uang']"
29,"['celana', 'pendek', 'mikro', 'celana', 'olahraga', 'kolor', 'olahrga', 'pria', 'celana', 'fitnes', 'celana', 'gym', 'celana', 'runing', 'rp', 'sim', 'c', 'kevin', 'sanjaya', 'sukamuljo', 'gopay', 'galon', 'oplosan', 'bpjs', 'barugajian', 'luffytoken', 'semangka', 'wapres', 'jt', 'bumn', 'blokirgakpakemikir', 'kimdami', 'blokirkominfo']"
30,"['stiker', 'vinyl', 'lantai', 'marbel', 'biar', 'lantai', 'tambah', 'aesthetic', 'cek', 'di', 'shopee', 'trend', 'sim', 'c', 'kevin', 'sanjaya', 'sukamuljo', 'gopay', 'galon', 'oplosan', 'kuatkan', 'iman', 'arab', 'bpjs', 'barugajian', 'luffytoken', 'semangka', 'wapres', 'jt', 'bumn', 'blokirgakpakemikir']"
31,"['botol', 'cetakan', 'bola', 'es', 'batu', 'bentuk', 'bulat', 'dan', 'anti', 'ribet', 'cek', 'di', 'shopee', 'trend', 'sim', 'c', 'kevin', 'sanjaya', 'sukamuljo', 'gopay', 'galon', 'oplosan', 'kuatkan', 'iman', 'arab', 'bpjs', 'barugajian', 'luffytoken', 'semangka', 'wapres', 'jt', 'bumn', 'blokirgakpakemikir']"
32,"['siswa', 'sma', 'di', 'malang', 'ini', 'berniat', 'bunuh', 'diri', 'di', 'jembatan', 'soekarno', 'hatta', 'malang', 'endingnya', 'malah', 'begini', 'trending', 'kevin', 'sanjaya', 'sukamuljo', 'jt', 'sim', 'c', 'galon', 'oplosan', 'wapres', 'arab', 'bpjs', 'bumn', 'gopay']"
33,"['terungkap', 'keris', 'petir', 'sakti', 'gus', 'samsudin', 'dijual', 'online', 'rp', 'ribu', 'nitizen', 'ngakak', 'sampe', 'bilang', 'gini', 'trending', 'kevin', 'sanjaya', 'sukamuljo', 'jt', 'sim', 'c', 'galon', 'oplosan', 'wapres', 'arab', 'bpjs', 'bumn', 'gopay']"
34,"['the', 'way', 'of', 'sholat', 'khusuk', 'guys', 'bpjs', 'kepala', 'desa', 'wapres', 'amel', 'sim', 'c']"
35,"['terungkap', 'putra', 'amien', 'rais', 'ini', 'suka', 'minuman', 'beralkohol', 'berbagai', 'merek', 'ternyata', 'trending', 'kevin', 'sanjaya', 'sukamuljo', 'jt', 'sim', 'c', 'galon', 'oplosan', 'wapres', 'arab', 'bpjs', 'bumn', 'gopay']"
36,"['stop', 'insecure', 'and', 'do', 'more', 'bpjs', 'kepala', 'desa', 'wapres', 'amel', 'sim', 'c']"
37,"['from', 'zero', 'to', 'hero', 'bisa', 'yuk', 'bisa', 'bpjs', 'kepala', 'desa', 'wapres', 'amel', 'sim', 'c']"
38,"['kebaikan', 'kadang', 'kayak', 'limited', 'edition', 'gak', 'si', 'bpjs', 'kepala', 'desa', 'wapres', 'amel', 'sim', 'c']"
39,"['keren', 'banget', 'sih', 'handheld', 'gimbal', 'wireless', 'bluetoothnya', 'cek', 'di', 'shopee', 'trend', 'sim', 'c', 'kevin', 'sanjaya', 'sukamuljo', 'gopay', 'galon', 'oplosan', 'arab', 'bpjs', 'luffytoken', 'amel', 'wapres', 'jt', 'bumn', 'blokirgakpakemikir']"
40,"['how', 'to', 'be', 'stronger', 'bpjs', 'kepala', 'desa', 'wapres', 'amel', 'sim', 'c']"
41,"['rekomendasi', 'sendal', 'anakanak', 'lucusimple', 'gopay', 'blacpink', 'is', 'coming', 'tandatangani', 'petisi', 'jt', 'sim', 'c', 'bpjs', 'isac', 'kevin', 'sanjaya', 'sukamuljo', 'kimdami', 'nct런쥔', '영원한차일드우리마크생일축하해']"
42,"['heluzka', 'kaos', 'polos', 'pria', 'ael', 'series', 'rp', 'jt', 'sim', 'c', 'gopay', 'tandatangani', 'petisi', 'galon', 'oplosan', 'bpjs', 'happy', 'birthday', 'adorable', 'boy', 'arab']"
43,"['smooth', 'basic', 'tshirt', 'regular', 'fit', 'black', 'charcoal', 'rp', 'jt', 'sim', 'c', 'gopay', 'tandatangani', 'petisi', 'galon', 'oplosan', 'bpjs', 'happy', 'birthday', 'adorable', 'boy', 'arab']"
44,"['avoskin', 'miraculous', 'refining', 'series', 'travel', 'kit', 'rp', 'jt', 'sim', 'c', 'gopay', 'tandatangani', 'petisi', 'galon', 'oplosan', 'bpjs', 'happy', 'birthday', 'adorable', 'boy', 'arab']"
45,"['aerostreet', 'windbreaker', 'jaxton', 'jacket', 'army', 'iaaaa', 'rp', 'jt', 'sim', 'c', 'gopay', 'tandatangani', 'petisi', 'galon', 'oplosan', 'bpjs', 'happy', 'birthday', 'adorable', 'boy', 'arab']"
46,"['ayo', 'bergabung', 'di', 'gerakan', 'tolak', 'presidential', 'threshold', 'sim', 'c', 'wapres', 'puan', 'capres', 'pdip', 'bpjs', 'bumn', 'morningg', 'pagii', 'subuh', 'galon', 'oplosan', 'ruhut', 'jt', 'kevin', 'sanjaya', 'sukamuljo', 'gopay', 'kuatkan', 'iman', 'islam', 'nabi', 'arab', 'tandatangani', 'petisi']"
47,"['bathix', 'koko', 'kurta', 'farabbi', 'pria', 'muslim', 'premium', 'rp', 'jt', 'sim', 'c', 'gopay', 'tandatangani', 'petisi', 'galon', 'oplosan', 'bpjs', 'happy', 'birthday', 'adorable', 'boy', 'arab']"
48,"['terrel', 'sportswear', 'basic', 'tee', 'green', 'tshirt', 'baju', 'olah', 'raga', 'gym', 'lari', 'running', 'rp', 'jt', 'sim', 'c', 'gopay', 'tandatangani', 'petisi', 'galon', 'oplosan', 'bpjs', 'happy', 'birthday', 'adorable', 'boy', 'arab']"
49,"['pencairan', 'spaylater', 'krediv', 'akulaku', 'kartu', 'kredit', 'homecredit', 'bri', 'ceria', 'indodana', 'gopaylater', 'travelokapaylater', 'dll', 'jadi', 'hubungi', 'galon', 'oplosan', 'kevin', 'sanjaya', 'sukamuljo', 'tandatangani', 'petisi', 'happy', 'birthday', 'adorable', 'boy', 'bpjs', 'sim', 'c', 'nabi', 'kimdami']"
50,"['nihil', 'berita', 'penemuan', 'senjata', 'amp', 'amunisi', 'tka', 'china', 'mana', 'hasil', 'lidik', 'polisi', 'kok', 'gada', 'konpres', 'apa', 'hrs', 'ada', 'bendera', 'tauhid', 'baru', 'dinyatakan', 'teroris', 'sim', 'c', 'wapres', 'puan', 'capres', 'pdip', 'bpjs', 'bumn', 'morningg', 'pagii', 'galon', 'oplosan', 'jt', 'kevin', 'sanjaya', 'sukamuljo', 'kuatkan', 'iman', 'islam', 'nabi', 'arab']"
51,"['tren', 'jt', 'tandatangani', 'petisi', 'gopay', 'sim', 'c', 'kevin', 'sanjaya', 'sukamuljo', 'luffytoken', 'blokirgakpakemikir', 'kuatkan', 'iman', 'kimdami', 'bpjs', 'kemenanganbersama', 'nabi', 'shopeepaythr', 'morningg', 'barugajian', 'happy', 'birthday', 'adorable', 'boy', 'subuh', 'kasmaran', 'wapres']"
52,"['tag', 'shopeepaythr', 'sim', 'c', 'gopay', 'kevin', 'sanjaya', 'sukamuljo', 'tandatangani', 'petisi', 'kuatkan', 'iman', 'pagi', 'morning', 'bpjs', 'selasa']"
53,"['ambhyar', 'kemarin', 'tak', 'jd', 'ditahan', 'dgn', 'alasan', 'kemanusiaan', 'eh', 'skrg', 'jalan', 'keluar', 'negeri', 'kok', 'bisa', 'ya', 'sim', 'c', 'jt', 'puan', 'capres', 'pdip', 'tidur', 'kebangun', 'subuh', 'depok', 'khilafah', 'gopay', 'apeng', 'bpjs', 'pagii', 'tandatangani', 'petisi', 'galon', 'oplosan', 'kevin', 'sanjaya', 'sukamuljo', 'kuatkan', 'iman', 'nabi', 'islam', 'arab']"
54,"['udh', 'wondering', 'bgt', 'dr', 'lama', 'beda', 'nama', 'di', 'id', 'tuh', 'bakalan', 'bisa', 'bikin', 'ribet', 'diri', 'sendiri', 'nah', 'kejadian', 'kan', 'nama', 'w', 'yang', 'disingkat', 'ada', 'di', 'kk', 'ktp', 'sim', 'stnk', 'dan', 'semua', 'kartu', 'kaya', 'nim', 'bpjs', 'bank', 'dll', 'yang', 'ga', 'disingkat', 'akte', 'ijazah', 'dan', 'paspor', 'ribet', 'emggg', 'dah']"
55,"['info', 'lur', 'saya', 'kehilangan', 'dompet', 'warna', 'hitam', 'didalamnya', 'ada', 'uang', 'kurang', 'lebih', 'ribu', 'ktpsim', 'asim', 'cbpjs', 'kartu', 'berobat', 'di', 'rs', 'hardjolukito', 'atas', 'nama', 'sujoko', 'kehilangan', 'kemarin', 'malem', 'hari', 'minggu', 'jam', 'set', 'an', 'di', 'sekitar', 'mirota', 'manna', 'kampus', 'minomartani', 'mohon', 'infonya']"
56,"['dicari', 'dompet', 'warna', 'hitam', 'di', 'dalamnya', 'berisi', 'ktp', 'an', 'vemas', 'putra', 'pratama', 'sim', 'aampc', 'kartu', 'bpjs', 'stnk', 'mio', 'amp', 'vespa', 'kartu', 'pelajar', 'hilang', 'sekitar', 'tanggal', 'juli', 'bagi', 'yang', 'menemukan', 'bisa', 'tolong', 'dm', 'akun', 'ini', 'terima', 'kasih', 'dompethilang', 'dompet', 'beritajakarta']"
57,"['saya', 'bulan', 'lalu', 'lumayan', 'gelisah', 'karna', 'hrs', 'perpanjang', 'sim', 'a', 'yg', 'katanya', 'wajib', 'punya', 'bpjs', 'kesehatan', 'dan', 'mesti', 'ngurus', 'agar', 'bisa', 'perpanjang', 'sim', 'untunglah', 'saat', 'perpanjang', 'sim', 'ternyata', 'tdk', 'diminta']"
58,"['saya', 'barusan', 'kehilangan', 'dompet', 'warna', 'hitam', 'lusuh', 'berisi', 'ktp', 'sim', 'atm', 'bpjs', 'dll', 'di', 'perjalanan', 'antara', 'jupiter', 'sd', 'borma', 'ciwastra', 'mohon', 'info', 'bila', 'ada', 'yg', 'menemukan']"
59,"['lulus', 'sma', 'tuh', 'lu', 'kudu', 'ngurus', 'bikin', 'surat', 'penting', 'ktp', 'sim', 'bpjs', 'atm', 'etc', 'trus', 'udah', 'ga', 'dipanggil', 'dek', 'lagi', 'biasanya', 'dipanggil', 'mbak', 'dan', 'dikira', 'mau', 'kerja', 'bahkan', 'minta', 'uang', 'ke', 'ortu', 'aja', 'sungkan', 'karna', 'udh', 'mikir', 'diri', 'sendiri', 'tuh', 'beban']"
60,"['paypal', 'belum', 'nyerahin', 'administrasi', 'foto', 'kopi', 'ktp', 'kk', 'stnk', 'bpkb', 'sim', 'bpjs']"
61,"['haka', 'donk', 'all', 'inn', 'gadaikan', 'semua', 'surat', 'berharga', 'kayak', 'sim', 'ktp', 'bpjs', 'dll']"
62,"['mungkin', 'org', 'paypal', 'belum', 'bawa', 'salinan', 'fotocopy', 'ktp', 'kk', 'kartu', 'vaksinkartu', 'bpjs', 'stnk', 'sim', 'bpkb', 'buku', 'nikah', 'sertifikat', 'tanah', 'halah', 'taek']"
63,"['cabut', 'semua', 'dokumen', 'nkri', 'yang', 'ada', 'padanya', 'ktp', 'kartu', 'keluarga', 'paspor', 'sim', 'buku', 'nikah', 'kartu', 'bpjs', 'akta', 'kelahiran', 'ijazah', 'pendidikan', 'hapus', 'namanya', 'dalam', 'daftar', 'penerima', 'bantuan', 'subsidi', 'apapun']"
64,"['kalau', 'memang', 'antum', 'tidak', 'suka', 'dengan', 'nkri', 'kembalikan', 'semua', 'dokumen', 'negara', 'ktp', 'kartu', 'keluarga', 'paspor', 'sim', 'buku', 'nikah', 'kartu', 'bpjs', 'ijazah', 'pendidikan', 'npwp', 'hapus', 'namanya', 'dalam', 'daftar', 'penerima', 'subsidi']"
65,"['kalau', 'memang', 'menurut', 'antum', 'ini', 'negara', 'toghut', 'kembalikan', 'semua', 'dokumen', 'negara', 'ri', 'yang', 'ada', 'pada', 'antum', 'kartu', 'keluarga', 'ktp', 'paspor', 'sim', 'buku', 'nikah', 'kartu', 'bpjs', 'akta', 'kelahiran', 'ijazah', 'pendidikan', 'hapus', 'namanya', 'dalam', 'daftar', 'penerima', 'bantuan', 'subsidi', 'pemerintah']"
66,"['cabut', 'ktp', 'paspor', 'sim', 'bpjs', 'tokoh', 'khilafah', 'ini', 'tidak', 'usah', 'merusak', 'dan', 'tunggu', 'polisi', 'geruduk', 'dan', 'rampas', 'dokumen', 'tsb', 'sekeluarga', 'demi', 'nkri', 'dan', 'ulama', 'yg', 'sdh', 'berkorban', 'demi', 'agama', 'dan', 'negara']"
67,"['mall', 'pelayanan', 'publik', 'di', 'solo', 'pertama', 'kali', 'masuk', 'ngurus', 'perpanjangan', 'sim', 'mendaftar', 'semalam', 'lewat', 'apk', 'ringkes', 'luar', 'biasa', 'komplit', 'dr', 'bpjs', 'pln', 'kemenag', 'sim', 'dll', 'ada', 'semua', 'semua', 'disentralisasi', 'shg', 'menghemat', 'waktu', 'amp', 'kemudahan', 'good', 'jobs', 'good', 'servis']"
68,"['follow', 'aja', 'terus', 'dm', 'td', 'di', 'acara', 'lo', 'liat', 'ktpsimkartu', 'bpjskunci', 'kost', 'gue', 'gak', 'jatoh', 'gatau', 'di', 'mana', 'buat', 'modussss']"
69,"['cicilan', 'tanpa', 'kartu', 'credit', 'syarat', 'ktp', 'dan', 'npwp', 'ktp', 'dan', 'sim', 'ktp', 'dan', 'bpjs', 'wa', 'dp', 'mulai', 'dari', 'promo', 'cashback', 'cicilan', 'upto', 'k', 'khusus', 'cicilan', 'hp', 'vivo', 'free', 'gift', 'hansfree', 'atau', 'powerbank', 'hanya', 'di', 'tukar', 'tambah', 'cibinong', 'city', 'mall', 'cicilhp', 'cicilantanpakartukredit']"
70,"['bpjs', 'ktp', 'sim', 'kk', 'ada']"
71,"['jualan', 'risol', 'sama', 'lagi', 'ngurus', 'yang', 'semacam', 'bpjs', 'sim', 'rekening']"
72,"['sumpah', 'service', 'di', 'xl', 'center', 'rempong', 'banget', 'udah', 'bawa', 'ktp', 'ektp', 'lho', 'eh', 'diminta', 'kk', 'sim', 'npwp', 'bpjs', 'dll', 'dll', 'dll', 'perkara', 'kartu', 'sim', 'rusak', 'doang', 'padahal', 'bikin', 'paspor', 'aja', 'lebih', 'gampang', 'daripada', 'ngurus', 'sim', 'rusak', 'prioritas', 'pun', 'gak', 'guna', 'payah', 'dah']"
73,"['mohon', 'bantuanya', 'barang', 'kali', 'ada', 'nemukam', 'dompet', 'sy', 'isi', 'ktp', 'stnk', 'sepeda', 'mtr', 'scpy', 'simc', 'atm', 'bca', 'bri', 'bpjs', 'mohon', 'klau', 'ada', 'nemukam', 'hub', 'no', 'wa', 'ini', 'itu', 'ktp', 'sim', 'atas', 'nama', 'sy', 'sendiri', 'jumarang', 'alamat', 'perum', 'graha', 'mutiara', 'a', 'no', 'desa', 'kebongagun', 'sukodono', 'kab', 'sidoarjo']"
74,"['ngebayang', 'bawa', 'ktp', 'aja', 'ga', 'perlu', 'bawa', 'sim', 'biji', 'kartu', 'bpjs', 'kl', 'yg', 'ini', 'dah', 'bs', 'mibile', 'sih', 'sekalian', 'stnk', 'dan', 'pajaknya', 'connect', 'jg', 'cukup', 'pqk', 'pol', 'scan', 'ktp', 'semua', 'data', 'itu', 'nongol', 'di', 'hp', 'pak', 'polisi']"
